"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/1","75/9512",0.0133333333333333,126.826666666667,11.2172486228427,0.00788477712363322,0.0157695542472664,NA,"5268",1
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","1/1","320/9512",0.003125,29.725,5.35957087834465,0.033641715727502,0.033641715727502,NA,"5268",1
