"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","1/2","172/9512",0.00581395348837209,27.6511627906977,5.11498986578464,0.0358397372472704,0.0426411886055709,NA,"6048",1
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","1/2","205/9512",0.0048780487804878,23.2,4.65975280272982,0.0426411886055709,0.0426411886055709,NA,"28973",1
