"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-H6-A45N","Solid Tissue Normal",1728,5.13195403013238,2793,2976.33333333333,29029
"TCGA-H6-A45N","Solid Tissue Normal",1728,5.13195403013238,335,320.666666666667,1880
"TCGA-H6-A45N","Primary Tumor",5898,7.54381831009211,2793,2976.33333333333,29029
"TCGA-H6-A45N","Primary Tumor",5898,7.54381831009211,335,320.666666666667,1880
"TCGA-H8-A6C1","Primary Tumor",4738,6.65257394956619,155,294.666666666667,1988
"TCGA-HV-A5A3","Primary Tumor",4330,7.21244607037291,30,80,339
"TCGA-HV-A5A3","Primary Tumor",4330,7.21244607037291,277.5,545.333333333333,2348
"TCGA-HV-A5A3","Solid Tissue Normal",6816,7.34002153717341,30,80,339
"TCGA-HV-A5A3","Solid Tissue Normal",6816,7.34002153717341,277.5,545.333333333333,2348
"TCGA-HV-A5A4","Primary Tumor",3002,6.11059183322315,149,164.333333333333,1063
"TCGA-HV-A5A5","Primary Tumor",4361,6.73391258403669,110,500,2003
"TCGA-HV-A5A6","Primary Tumor",6520,7.26053481923493,173.5,65.3333333333333,526
"TCGA-HV-A7OL","Primary Tumor",1795,5.72864892313487,235,669.666666666667,1231
"TCGA-HV-A7OP","Primary Tumor",1494,6.11413983046398,29.5,36.6666666666667,22
"TCGA-HV-AA8V","Primary Tumor",6647,7.06169516196409,173.5,222,1261
"TCGA-HV-AA8X","Primary Tumor",5341,6.75702850323341,46.5,54.6666666666667,333
"TCGA-HZ-7289","Primary Tumor",2691,6.29116975605808,43,44.3333333333333,99
"TCGA-HZ-7918","Primary Tumor",16488,8.27146333634174,1300,1888.33333333333,12414
"TCGA-HZ-7919","Primary Tumor",24647,8.79867557073465,451.5,606.666666666667,2797
"TCGA-HZ-7920","Primary Tumor",10671,7.15962553776774,1466,1353.33333333333,10394
"TCGA-HZ-7922","Primary Tumor",8576,7.43531202766237,393.5,396.666666666667,4444
"TCGA-HZ-7923","Primary Tumor",8186,6.64459764393814,1483,1837.66666666667,12243
"TCGA-HZ-7924","Primary Tumor",5828,6.12909833832703,471.5,779.333333333333,8492
"TCGA-HZ-7925","Primary Tumor",15830,7.91166036434302,193.5,334,3632
"TCGA-HZ-7926","Primary Tumor",12774,7.56194020429562,806.5,729.333333333333,7142
"TCGA-HZ-8001","Primary Tumor",13460,7.83864304101609,893.5,1008.33333333333,3755
"TCGA-HZ-8002","Primary Tumor",21999,8.38555921657347,980.5,876.333333333333,7014
"TCGA-HZ-8003","Primary Tumor",9109,7.5856228046751,589.5,747.333333333333,8088
"TCGA-HZ-8005","Primary Tumor",26097,9.19148481007159,177,130.333333333333,1861
"TCGA-HZ-8315","Primary Tumor",17525,7.96739052152479,624.5,629,5546
"TCGA-HZ-8317","Primary Tumor",7799,7.28247897947072,95,152.666666666667,1631
"TCGA-HZ-8519","Primary Tumor",8860,6.41618664382282,1830,1288.33333333333,9218
"TCGA-HZ-8636","Primary Tumor",22892,8.22195902992863,196.5,547.666666666667,6751
"TCGA-HZ-8637","Primary Tumor",7633,6.42059163608511,1770.5,2279.33333333333,23599
"TCGA-HZ-8638","Primary Tumor",6439,6.2613927750939,870.5,635.333333333333,4436
"TCGA-HZ-A49G","Primary Tumor",5715,6.98234732040522,488,449.333333333333,3924
"TCGA-HZ-A49H","Primary Tumor",4748,6.78682573665234,631,830,3393
"TCGA-HZ-A49I","Primary Tumor",5181,6.92445899543109,188.5,303,2560
"TCGA-HZ-A4BH","Primary Tumor",26510,9.06993271993572,404.5,705,4163
"TCGA-HZ-A4BK","Primary Tumor",7600,7.28676976007008,621,584.666666666667,2620
"TCGA-HZ-A77O","Primary Tumor",14671,8.57798378373319,101.5,122.333333333333,605
"TCGA-HZ-A77P","Primary Tumor",7963,7.03700576874395,451,397.333333333333,2108
"TCGA-HZ-A77Q","Primary Tumor",7975,7.73649073804601,517,501.666666666667,5391
"TCGA-HZ-A8P0","Primary Tumor",4824,7.05382796012567,112.5,161.666666666667,745
"TCGA-HZ-A8P1","Primary Tumor",2441,6.02294785404703,73,87.3333333333333,487
