"barcode","SampleType","RawCount","logCPM"
"TCGA-A5-A2K4","Primary Tumor",4774,6.9181657701562
"TCGA-AP-A1DQ","Primary Tumor",3166,6.72562448236131
"TCGA-AP-A0LJ","Primary Tumor",8579,8.97566910164052
"TCGA-B5-A5OC","Primary Tumor",7050,7.15021445686128
"TCGA-D1-A15Z","Primary Tumor",4881,7.60012322254799
"TCGA-BS-A0V7","Primary Tumor",660,5.48053784248365
"TCGA-EY-A1G8","Primary Tumor",1943,6.57270728603684
"TCGA-BG-A0M8","Primary Tumor",3154,7.59278545247307
"TCGA-D1-A0ZO","Primary Tumor",5567,7.74890885973665
"TCGA-AX-A2HF","Primary Tumor",6979,7.88383686902825
"TCGA-EY-A1GL","Primary Tumor",12458,8.42548873281377
"TCGA-AX-A2HA","Primary Tumor",4751,7.95656089965494
"TCGA-B5-A11F","Primary Tumor",2564,6.98013620393846
"TCGA-AP-A1DP","Primary Tumor",3405,7.27732566808698
"TCGA-D1-A3JQ","Primary Tumor",10047,7.27833331002711
"TCGA-AX-A1C5","Primary Tumor",4447,7.58747864713575
"TCGA-FL-A1YU","Solid Tissue Normal",20049,8.3232124112343
"TCGA-EY-A1GR","Primary Tumor",3330,6.96437324030012
"TCGA-A5-A0G2","Primary Tumor",2474,6.54787398844653
"TCGA-BS-A0UF","Primary Tumor",5809,7.57410915021886
"TCGA-BK-A139","Primary Tumor",4099,6.66543265933325
"TCGA-D1-A0ZS","Primary Tumor",828,5.00287033253548
"TCGA-EY-A2ON","Primary Tumor",1206,4.96062269428944
"TCGA-EO-A3AY","Primary Tumor",1908,6.14592869031869
"TCGA-D1-A174","Primary Tumor",977,5.82510674886984
"TCGA-DF-A2KV","Primary Tumor",9048,7.97169763592714
"TCGA-AJ-A3NG","Primary Tumor",16320,7.98891227006003
"TCGA-D1-A17A","Primary Tumor",7972,8.44332713652898
"TCGA-EY-A1GP","Primary Tumor",8352,7.15691705885845
"TCGA-AP-A05J","Primary Tumor",3981,7.91213536416977
"TCGA-B5-A0K4","Primary Tumor",3748,7.89638633752799
"TCGA-D1-A168","Primary Tumor",1508,6.59024261065024
"TCGA-EY-A549","Primary Tumor",27664,8.93752098816974
"TCGA-FI-A2EW","Primary Tumor",548,4.65888155546256
"TCGA-B5-A0K2","Primary Tumor",8285,9.02194427131748
"TCGA-BK-A56F","Primary Tumor",43997,9.64389819187015
"TCGA-EO-A3L0","Primary Tumor",21148,8.87215485981825
"TCGA-D1-A16D","Primary Tumor",17760,9.65150223912515
"TCGA-BG-A0M3","Primary Tumor",12817,9.33025340070285
"TCGA-B5-A5OD","Primary Tumor",3721,6.14846610923068
"TCGA-BG-A0MC","Primary Tumor",3045,7.7426180848686
"TCGA-EO-A22T","Primary Tumor",3813,7.07129276558315
"TCGA-B5-A0K3","Primary Tumor",2319,6.71585108319645
"TCGA-BK-A13C","Solid Tissue Normal",5437,8.06653808973186
"TCGA-D1-A17M","Primary Tumor",3861,7.99734711534274
"TCGA-B5-A0JZ","Primary Tumor",1893,6.12169991291193
"TCGA-D1-A16R","Primary Tumor",5052,7.73898069178428
"TCGA-DI-A1NN","Primary Tumor",4277,7.32071183520618
"TCGA-EO-A1Y7","Primary Tumor",8448,7.66901142147589
"TCGA-AJ-A3TW","Primary Tumor",5967,7.10593948420038
"TCGA-AX-A1CJ","Primary Tumor",12888,9.30934737183867
"TCGA-DI-A2QU","Solid Tissue Normal",7358,8.36997537624988
"TCGA-KP-A3W1","Primary Tumor",6659,7.43762521747083
"TCGA-DI-A2QY","Primary Tumor",2927,6.18056041048484
"TCGA-4E-A92E","Primary Tumor",47751,10.0378249071404
"TCGA-AP-A052","Primary Tumor",2421,7.1429695016677
