"barcode","SampleType","RawCount","logCPM"
"TCGA-FB-AAPP","Primary Tumor",12330,8.73640830474615
"TCGA-H8-A6C1","Primary Tumor",26641,9.14362862070484
"TCGA-F2-7273","Primary Tumor",37055,8.92567622442194
"TCGA-HZ-7920","Primary Tumor",21924,8.19833425049312
"TCGA-3A-A9IJ","Primary Tumor",4560,6.73450585559111
"TCGA-HV-A7OL","Primary Tumor",31707,9.87086447672532
"TCGA-2J-AABO","Primary Tumor",15517,9.03851820119459
"TCGA-F2-7276","Primary Tumor",32349,8.95185795165236
"TCGA-HZ-8637","Primary Tumor",32610,8.51531759909675
"TCGA-3A-A9IN","Primary Tumor",6809,7.14340767770566
"TCGA-HZ-7918","Primary Tumor",18604,8.44564880609596
"TCGA-FB-A78T","Primary Tumor",56579,9.91131237425506
"TCGA-M8-A5N4","Primary Tumor",37583,9.91936350873296
"TCGA-2J-AABI","Primary Tumor",28731,8.79854540502187
"TCGA-IB-AAUO","Primary Tumor",35395,9.45182558425199
"TCGA-IB-7647","Primary Tumor",51060,9.29783695610793
"TCGA-2L-AAQA","Primary Tumor",41809,9.52800996705363
"TCGA-2L-AAQE","Primary Tumor",39058,9.71643568981091
"TCGA-2J-AABK","Primary Tumor",36385,9.27953392673125
"TCGA-HV-A5A4","Primary Tumor",30917,9.47460697919189
"TCGA-IB-7651","Primary Tumor",111792,10.5392000714978
"TCGA-HZ-8636","Primary Tumor",37641,8.9393813796941
"TCGA-IB-7893","Primary Tumor",44087,9.71888148942925
"TCGA-US-A774","Primary Tumor",23991,8.80059570621856
"TCGA-HZ-A49I","Primary Tumor",53063,10.2806414354155
"TCGA-HZ-7926","Primary Tumor",132584,10.9374221594532
"TCGA-2J-AAB8","Primary Tumor",9282,8.4853769780876
"TCGA-LB-A9Q5","Primary Tumor",13139,9.02791402555953
"TCGA-2J-AABT","Primary Tumor",11224,8.27729582024496
"TCGA-IB-7889","Primary Tumor",41209,9.58198002622737
"TCGA-FB-A5VM","Primary Tumor",45579,10.0814075084757
"TCGA-2J-AAB4","Primary Tumor",66618,10.2531229109784
"TCGA-3A-A9I9","Primary Tumor",18647,8.7710995584398
"TCGA-IB-8126","Primary Tumor",12615,8.29949841229268
"TCGA-YH-A8SY","Primary Tumor",21289,9.11009286192029
"TCGA-HZ-A4BK","Primary Tumor",39753,9.6736078618317
"TCGA-FB-AAQ3","Primary Tumor",14197,8.90316532617108
"TCGA-IB-7890","Primary Tumor",47405,10.1840775682791
"TCGA-HZ-8001","Primary Tumor",21843,8.53708570095318
"TCGA-IB-AAUS","Primary Tumor",11577,7.89732476764129
"TCGA-IB-AAUR","Primary Tumor",23685,8.70691961265775
"TCGA-H6-A45N","Primary Tumor",13072,8.69191285540095
"TCGA-H6-8124","Solid Tissue Normal",22354,8.46546337152516
"TCGA-3A-A9I5","Primary Tumor",9991,7.99387891017146
"TCGA-FB-AAQ0","Primary Tumor",54889,10.4395519067467
"TCGA-3E-AAAZ","Primary Tumor",36295,9.22081419988005
"TCGA-3E-AAAY","Primary Tumor",29540,9.14690447152756
"TCGA-2L-AAQI","Primary Tumor",45495,9.93773662564554
"TCGA-YB-A89D","Primary Tumor",36710,9.71940961696713
"TCGA-S4-A8RP","Primary Tumor",18082,8.52577687223771
"TCGA-FB-AAPQ","Primary Tumor",42405,10.7987224692937
"TCGA-HZ-A77Q","Primary Tumor",21177,9.14534545724588
"TCGA-HZ-A77O","Primary Tumor",28456,9.53371168875078
"TCGA-LB-A8F3","Primary Tumor",27953,9.43146056138621
"TCGA-IB-7654","Primary Tumor",83989,10.3667498098155
"TCGA-IB-AAUV","Primary Tumor",8004,7.06526816123994
"TCGA-HZ-7289","Primary Tumor",26920,9.61329145983087
"TCGA-RL-AAAS","Primary Tumor",16709,8.58468788674361
"TCGA-IB-7888","Primary Tumor",19471,8.87393774754439
"TCGA-IB-AAUP","Primary Tumor",20173,8.45794692548395
"TCGA-RB-A7B8","Primary Tumor",21623,9.01935687398592
"TCGA-2J-AABR","Primary Tumor",21792,9.18623224821898
"TCGA-IB-A5ST","Primary Tumor",30164,9.13062394505063
"TCGA-IB-AAUM","Primary Tumor",11324,8.22611589934231
"TCGA-US-A779","Primary Tumor",31315,9.45984842275624
"TCGA-2J-AABV","Primary Tumor",8823,9.26257086382314
"TCGA-IB-A6UG","Primary Tumor",20892,8.83227657291587
"TCGA-2J-AABA","Primary Tumor",10536,8.11648777992125
"TCGA-2J-AABE","Primary Tumor",14395,8.61144022384384
"TCGA-XD-AAUL","Primary Tumor",89298,10.7280966887135
"TCGA-XN-A8T5","Primary Tumor",30115,9.53261345250383
"TCGA-US-A77G","Primary Tumor",40930,9.69926568659243
"TCGA-HZ-8315","Primary Tumor",37627,9.06968075489958
"TCGA-F2-A7TX","Primary Tumor",57132,10.2853643503804
"TCGA-Q3-A5QY","Primary Tumor",32157,9.39981005406106
"TCGA-IB-7644","Primary Tumor",32954,9.06465338930685
"TCGA-HZ-8005","Primary Tumor",33732,9.56170716692961
"TCGA-HV-A5A6","Primary Tumor",28791,9.40305855794099
"TCGA-F2-A44H","Primary Tumor",4288,7.72267758474516
"TCGA-LB-A7SX","Primary Tumor",20744,8.50710688810252
"TCGA-OE-A75W","Primary Tumor",59372,10.3929333943991
"TCGA-HZ-7925","Primary Tumor",31257,8.89311736545788
"TCGA-FB-AAPZ","Primary Tumor",25833,9.69842711884833
"TCGA-IB-7646","Primary Tumor",46512,10.1832205772716
"TCGA-US-A776","Primary Tumor",17801,8.5179812298409
"TCGA-IB-7887","Primary Tumor",27360,8.79878052375407
