"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-CN-4739","Primary Tumor",22915,8.14567240585554,893,886.333333333333,4232
"TCGA-CN-4740","Primary Tumor",22022,8.47524684968473,676,607.333333333333,6023
"TCGA-CN-4741","Primary Tumor",41000,8.95577860950598,361,407,1180
"TCGA-CN-4742","Primary Tumor",30898,9.05913370680847,119,268.666666666667,1638
"TCGA-CN-5355","Primary Tumor",58865,9.95546703919482,40.5,190,1524
"TCGA-CN-5356","Primary Tumor",22548,8.23378326572728,223.5,399,2270
"TCGA-CN-5358","Primary Tumor",25790,8.90653387488776,1272,1500.33333333333,11543
"TCGA-CN-5359","Primary Tumor",19008,7.85309834034548,1288,1666.33333333333,11708
"TCGA-CN-5360","Primary Tumor",24093,8.56479419144149,1103,1026.33333333333,7993
"TCGA-CN-5361","Primary Tumor",21191,8.62772439061469,72.5,271.333333333333,1220
"TCGA-CN-5363","Primary Tumor",25368,9.19628158354668,487,431.666666666667,1683
"TCGA-CN-5364","Primary Tumor",33507,9.1411519548422,75,367.666666666667,1157
"TCGA-CN-5365","Primary Tumor",56303,10.1182976241385,390,416.333333333333,861
"TCGA-CN-5366","Primary Tumor",29837,8.81965485050546,612,524,1719
"TCGA-CN-5367","Primary Tumor",27954,8.84242690345783,70.5,158.666666666667,1277
"TCGA-CN-5369","Primary Tumor",31432,8.99698612473204,850,1335,4143
"TCGA-CN-5370","Primary Tumor",36202,8.93058219504081,687,1018,10314
"TCGA-CN-5373","Primary Tumor",24199,9.113360823537,193,557,4061
"TCGA-CN-5374","Primary Tumor",28641,8.94088140116876,787,1550,3477
"TCGA-CN-6010","Primary Tumor",21891,8.34362269385193,289.5,406.666666666667,1797
"TCGA-CN-6011","Primary Tumor",14475,8.51804195982405,177.5,149.666666666667,682
"TCGA-CN-6012","Primary Tumor",23168,8.6861151767517,390.5,539.333333333333,2703
