"Cancer","Mean_logCPM","Median_logCPM","SD_logCPM","HR","p_value"
"TCGA-KIRC",9.20710869915559,9.27384947021264,0.817976662552245,0.623839455339825,2.97409142327495e-07
"TCGA-KIRP",9.95660856516849,10.1042700936901,0.770637647813539,0.535537204937631,0.00099614839269674
"TCGA-UCEC",8.79603743875148,8.78895974023906,0.847264404027461,1.04486316497928,0.720175795179902
"TCGA-STAD",8.69871249735976,8.73003104237032,0.873626816181268,0.956807242747888,0.596684472691735
"TCGA-PAAD",9.16184572012264,9.15612824525031,0.874263967727121,1.62234917515388,9.5510205927322e-05
"TCGA-LIHC",5.97422035953385,6.02547762513382,1.01103523221631,1.20448790316468,0.0427279041447603
"TCGA-GBM",7.45680889278227,7.43393461969505,0.849637383243743,0.856772764372323,0.0409717259205225
"TCGA-HNSC",8.9955948633597,9.01556002921901,0.649321883045012,1.41695564144976,0.000525532411841075
"TCGA-READ",8.64891891461814,8.619530566894,0.554189107959456,0.784070218,0.693721225
"TCGA-COAD",8.77791961325975,8.76162291799603,0.66551616855875,1.097209794,0.665636948
