"ENSG","SYMBOL","Correlation"
"ENSG00000022267","FHL1",0.624566838373171
"ENSG00000153721","CNKSR3",0.668696672699863
"ENSG00000165215","CLDN3",0.600875692087621
"ENSG00000167699","GLOD4",0.634049029820037
"ENSG00000169894","MUC3A",0.600071761348779
"ENSG00000179029","TMEM107",0.606526983160312
"ENSG00000196511","TPK1",0.625773201727672
"ENSG00000221988","PPT2",0.622713667986899
"ENSG00000235859","AC006978.1",0.628014086958259
"ENSG00000258474","LINC02313",0.602135893596657
