"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Metastatic",1,10.3783140516087,10.3783140516087,NA
"Primary Tumor",178,9.16184572012264,9.15612824525031,0.874263967727121
"Solid Tissue Normal",4,8.56462169584348,8.40760062946248,0.360253101632065
