"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Metastatic",2,8.11185536184693,8.11185536184693,0.905686790991274
"Primary Tumor",520,8.9955948633597,9.01556002921901,0.649321883045012
"Solid Tissue Normal",44,9.3079290376977,9.57942754307218,1.04219107684318
