"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Metastatic",1,8.66042500125496,8.66042500125496,NA
"Primary Tumor",178,7.21162618621861,7.12003440741993,0.968445667308764
"Solid Tissue Normal",4,6.90084148685419,7.20293224060953,1.25241199027439
