"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Metastatic",1,8.68241021856412,8.68241021856412,NA
"Primary Tumor",481,8.77791961325975,8.76162291799603,0.66551616855875
"Recurrent Tumor",1,9.02187303161747,9.02187303161747,NA
"Solid Tissue Normal",41,9.35970561977639,9.43404774665615,0.615282414352518
