"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Additional - New Primary",1,9.80938659568164,9.80938659568164,NA
"Primary Tumor",290,9.95660856516849,10.1042700936901,0.770637647813539
"Solid Tissue Normal",32,9.16428843211434,9.20440644121584,0.421217214639964
