"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Primary Tumor",166,8.64891891461814,8.619530566894,0.554189107959456
"Recurrent Tumor",1,8.66330948244806,8.66330948244806,NA
"Solid Tissue Normal",10,9.20946028644099,9.41832407445488,0.922470458393947
