"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Primary Tumor",511,5.44515476750265,5.43571896430761,0.990327644497491
"Solid Tissue Normal",51,7.61677281662898,7.61991121388268,0.582524873662222
