"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Additional - New Primary",1,8.45188147021468,8.45188147021468,NA
"Primary Tumor",541,8.00908711526624,8.16798539527703,1.14804479205901
"Solid Tissue Normal",72,9.36887482458966,9.54177430112289,1.16557998892364
