"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Primary Tumor",412,8.69871249735976,8.73003104237032,0.873626816181268
"Solid Tissue Normal",36,8.58292095873742,8.95391984476719,1.31371998934948
