"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Additional - New Primary",1,6.17162453852176,6.17162453852176,NA
"Primary Tumor",290,4.78596644565449,4.57263251337579,1.21731192334929
"Solid Tissue Normal",32,9.24145301439644,9.56853702891977,1.18479017546901
