"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Primary Tumor",412,6.61353125844545,6.63688325010216,0.828977368319796
"Solid Tissue Normal",36,5.35943957633112,5.30727538138374,0.710068297661538
