"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Additional - New Primary",1,10.2018542075841,10.2018542075841,NA
"Primary Tumor",541,9.20710869915559,9.27384947021264,0.817976662552245
"Solid Tissue Normal",72,9.09651986991639,9.13353028241681,0.311731395125498
