"SampleType","n","mean_logCPM","median_logCPM","sd_logCPM"
"Metastatic",2,4.91719096785192,4.91719096785192,1.29389875664818
"Primary Tumor",520,5.29366553532071,5.29140889628807,1.02598270534125
"Solid Tissue Normal",44,5.22216746428604,5.20413902925241,1.35031226844623
